Hello from NVSHMEM_PE=0/1
4 GPUs detected, asked to use use 1 GPUs
Single-kernel with N=24000 (1 of 24000x24000 tiles)
device 0 | 0 run | time (s): 0.5383
device 0 | 1 run | time (s): 0.5333
device 0 | 2 run | time (s): 0.5319
device 0 | 3 run | time (s): 0.5317
device 0 | 4 run | time (s): 0.5332
device 0 | 5 run | time (s): 0.5335
device 0 | 6 run | time (s): 0.5333
device 0 | 7 run | time (s): 0.5331
device 0 | 8 run | time (s): 0.5333
device 0 | 9 run | time (s): 0.5330
Total time used (s): 5.3344
